,acousticness,danceability,energy,instrumentalness,liveness,mode,speechiness,tempo,valence,ts_0,ts_1,ts_3,ts_4,ts_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,duration,loudness,popularity
0,0.499,0.436,0.655,8.1e-06,0.688,0.0,0.0583,121.00200000000001,0.41200000000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065705655117042,0.7319045464826962,1.0
1,0.7,0.0692,0.285,0.6729999999999999,0.19899999999999998,1.0,0.0482,78.572,0.0312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6199743615319538,0.5485749830355122,0.0
2,0.221,0.7,0.722,0.0,0.272,0.0,0.0369,90.98899999999999,0.7559999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13579768022353,0.8679597376159239,1.0
3,0.7290000000000001,0.2,0.282,0.887,0.0837,0.0,0.0468,74.381,0.0372,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36380271925384916,0.40864623388373666,0.0
4,0.19,0.711,0.598,0.0,0.15,0.0,0.182,140.175,0.737,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11474384313493692,0.7530818819271657,1.0
5,0.9440000000000001,0.37200000000000005,0.0803,1.93e-05,0.107,1.0,0.0383,126.553,0.14400000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794815906686813,0.5384245645781497,0.0
6,0.46799999999999997,0.737,0.802,0.0,0.0931,1.0,0.0878,144.015,0.682,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17495606857120338,0.8336631983714091,1.0
7,0.0012,0.632,0.632,0.9359999999999999,0.0984,0.0,0.0386,125.116,0.0803,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2320084328640336,0.6708323908617959,0.0
8,0.237,0.83,0.585,0.0,0.248,1.0,0.094,109.978,0.485,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666283690510937,0.785455779235467,1.0
9,0.0964,0.645,0.852,0.0,0.278,0.0,0.374,137.985,0.737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002155010522608518,0.7624688984392671,0.0
