,artist_name,popularity,track_id,track_name,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1212,Trance Wax,15,7m4LLXqhT5Rwa5mdB0Ej6O,Manaya - Mixed,spotify:artist:28Rn5KfDspTUHLpPfPF8EE,0.000564,0.624,269999,0.894,0.641,5,0.26,-5.876,1,0.035,127.998,4,0.35
1213,King Von,67,4g27tVPyGHi38dczFoJZZy,All These Niggas (feat. Lil Durk),spotify:artist:6QtgPSJPSzcnn7dPZ4VINp,0.00522,0.793,144787,0.462,0.0,5,0.191,-7.495,0,0.119,145.962,4,0.356
1214,gardenstate,14,7sRbmSAq8JHsRJbD1P7Ek4,Surreal - Mixed,spotify:artist:1XcPIHqirx1Jaxm2bAxMeV,0.00077,0.438,245760,0.86,0.649,9,0.103,-7.43,0,0.0297,124.962,4,0.295
1215,Penelope Scott,69,6UYJYgY8VRo6mKrhgTe1CF,Cigarette Ahegao,spotify:artist:3u6lPufHw4Oww6D88rv6sB,0.0966,0.654,183992,0.289,0.0186,5,0.101,-13.379,0,0.0361,82.987,4,0.151
1216,Andrew Bayer,14,4tmLvsT78I6Dy6g6EkKaSs,The Launch - Mixed,spotify:artist:5dFuu05x8SPBuymudrTBU8,0.00675,0.499,404651,0.907,0.818,1,0.0781,-6.358,1,0.0462,128.415,4,0.107
1217,Pop Smoke,73,7rSnKi58HPIVC0FVyh04Q1,Shake The Room (feat. Quavo),spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,0.142,0.733,165640,0.684,0.0,2,0.179,-4.748,1,0.177,142.04,4,0.437
1218,Aly & Fila,14,2rmH3PS0YUAHJEcDDHTQZo,Somebody Loves You (FYHYM2020),spotify:artist:2hL1EouqXLtBEB6JKnPF0h,8.39e-05,0.397,111187,0.958,0.00328,1,0.383,-6.633,1,0.0591,138.042,4,0.182
1219,Phoebe Bridgers,70,49UDOG8DoBajXTJSTqfRMg,Kyoto,spotify:artist:1r1uxoy19fzMxunt3ONAkG,0.0488,0.599,184524,0.742,0.32,11,0.0916,-6.886,1,0.0419,131.014,4,0.493
1220,David Forbes,14,4WfSbV7kGHsVH2yhhTPcN0,In My Mind (FYHYM2020),spotify:artist:3kwdB3aUfg0uneHczX2vTG,1.42e-05,0.328,102000,0.98,0.638,1,0.11,-7.301,1,0.1,137.021,4,0.153
1221,Princess Nokia,73,68UU9oaQtMDnh6PRlW842H,I Like Him,spotify:artist:6lay1nwbE6hTx1jivysUAL,0.0641,0.893,132453,0.579,0.000121,9,0.215,-8.995,1,0.113,133.018,4,0.611
1222,Alan Morris,13,4UL6hXmqy0h4vEqDAW2qgH,Tale Of Light (FYHYM2020),spotify:artist:2C51Wbu4q389aUw2Vy8IA4,5.74e-05,0.427,69625,0.998,0.94,2,0.366,-6.12,1,0.107,138.018,4,0.143
1223,Lil Tecca,70,5kTn07V96U8LyoQgz6DZzX,When You Down (with Polo G feat. Lil Durk),spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo,0.235,0.514,193013,0.634,0.0,1,0.13,-6.514,1,0.383,76.181,4,0.308
1224,Gareth Emery,14,2e9YtTxZqZ508c8Pnvxlej,You'll Be OK (FYHYM2020),spotify:artist:0hprEC0nsWuQPSHag1O2Vi,0.000274,0.509,113781,0.975,0.676,9,0.648,-5.596,0,0.118,135.007,4,0.0397
1225,Lil Durk,68,6ryWmFIfWRxIuqmUPtKIDh,Redman,spotify:artist:3hcs9uc56yIGFCSy9leWe7,0.481,0.74,95915,0.511,0.0,9,0.12,-10.507,0,0.262,160.017,4,0.841
1226,Armin van Buuren,14,3WYrosbfwQKIpQVlsjxrMw,This I Vow (FYHYM2020),spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,0.000204,0.471,85344,0.975,0.0928,9,0.692,-5.301,0,0.0521,134.988,4,0.323
1227,Lil Uzi Vert,68,6CUP2khYzdphXebxVTfPE3,Lo Mein,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,0.0888,0.855,195299,0.676,0.0,1,0.144,-5.736,1,0.325,133.082,4,0.509
1228,J-Dooly,7,790qKaRDTaI7mT4WTCp4rB,"1,2,3,4life.",spotify:artist:0fS1aOC9PyZ6eJhadYveWm,0.0129,0.897,184085,0.44,0.000662,2,0.0892,-10.681,1,0.199,100.999,4,0.286
1229,Dua Lipa,79,3AzjcOeAmA57TIOr9zF1ZW,Physical,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,0.0137,0.647,193829,0.844,0.000658,0,0.102,-3.756,1,0.0457,146.967,4,0.746
1230,J-Dooly,7,4RnSzXTmFBEvGRL7vSCSCO,Free Smoke.,spotify:artist:0fS1aOC9PyZ6eJhadYveWm,0.0717,0.802,226090,0.246,0.0,8,0.144,-10.723,1,0.503,84.869,4,0.0925
1231,Nico Szabo,19,3vFsUoi4KR8k5AWlPAGIj2,Raccoon,spotify:artist:0Vw8wTJPM8hzOHwqAjsFri,0.00485,0.804,495738,0.856,0.934,2,0.0627,-9.09,1,0.0374,121.996,4,0.0509
1232,Kid Cudi,71,38iBrrbbXyWaSPkmuDNgjZ,The Adventures of Moon Man & Slim Shady (with Eminem),spotify:artist:0fA0VVWsXO9YnASrzqfmYu,0.226,0.88,264834,0.787,0.0,8,0.12,-5.189,1,0.118,113.018,4,0.588
1233,Ben Gold,13,1yUIkMPglrpduoRF4IYsEO,I Am The God (FYHYM2020),spotify:artist:4DXcK8M3bJkCFfhHIkudyL,0.000261,0.518,42500,0.949,0.662,9,0.59,-6.086,0,0.0702,135.069,4,0.349
1234,NLE Choppa,69,3GZd1aDsgKL71Kt3VIp0hc,Narrow Road (feat. Lil Baby),spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,0.0306,0.614,240297,0.553,0.0,7,0.203,-8.225,1,0.169,159.999,4,0.161
1235,Dennis Sheperd,14,7mNBdUpbovxtrmnwuKPm1z,Malam (FYHYM2020) - Richard Durand Remix,spotify:artist:1wzytoanlxHqWXGCpUxnbY,2.75e-05,0.396,111344,0.995,0.892,6,0.149,-6.449,1,0.102,137.994,4,0.153
1236,Polo G,70,4SIB2yxKoFOrbkjA4zfQbB,Beautiful Pain (Losin My Mind),spotify:artist:6AgTAQt8XS6jRWi4sX7w49,0.137,0.597,171442,0.477,0.0,1,0.113,-9.638,0,0.642,80.382,4,0.512
1237,Davey Asprey,13,6vGV8tf2H7dV8FRD4oK7qc,D.A.A.D. (FYHYM2020),spotify:artist:7luLRXGBygBN8vUO8T9uHf,2.94e-05,0.362,113437,0.957,0.943,7,0.169,-6.885,1,0.0634,135.29,3,0.0867
1238,DaBaby,70,1gVCEnryJhkdQcuC0Kbvor,FIND MY WAY,spotify:artist:4r63FhuTkUYltbVAg5TQnk,0.187,0.836,139890,0.624,0.0,4,0.138,-6.75,0,0.184,103.0,4,0.7
1239,Giuseppe Ottaviani,14,6O0pv7g8wn4l12ZLgS27qe,Till We Meet Again (FYHYM2020),spotify:artist:5B9q1NRokzWYB7nSgnlHyv,1.6e-06,0.351,62969,0.984,0.994,11,0.213,-6.391,0,0.191,137.881,4,0.268
1240,Joseph Black,71,1Zv2jT7iZu98Feqpzhn0nd,(i hope you) miss me,spotify:artist:7sPFCTilT1dZsqcDXzOiQf,0.118,0.734,159171,0.596,0.0,6,0.107,-10.023,0,0.324,98.024,4,0.317
1241,Christy Moore,19,5RLeg1dOMEbbsGxQUmDKFR,Rambling Robin - Remastered 2020,spotify:artist:3Ebn7mKYzD0L3DaUB1gNJZ,0.855,0.456,143840,0.485,0.0884,4,0.151,-10.046,1,0.0437,152.066,1,0.859
1242,Quinn XCII,69,4CxmynXhw78QefruycvxG8,Coffee (feat. Marc E. Bassy),spotify:artist:3ApUX1o6oSz321MMECyIYd,0.0803,0.831,180053,0.452,0.0,5,0.359,-5.111,0,0.047,93.04,4,0.534
1243,Steve Brian,20,2dZ7MrvZqWFMxlXxX0rl7T,Jupiter Boulevard - Taylor Torrence Remix,spotify:artist:4xSQ9zt3zGyyiCXazv4mhf,0.00938,0.631,256289,0.831,0.000672,0,0.193,-5.764,1,0.144,127.99,4,0.126
1244,Miley Cyrus,72,4v8jmsVox8VwU5js3JHOJZ,Gimme What I Want,spotify:artist:5YGY8feqx7naU7z4HrwZM6,0.0428,0.659,151720,0.765,0.0,0,0.0783,-5.392,0,0.0591,89.983,4,0.41
1245,Jazz Instrumental Relax Center,16,4YCw4Y7NnSMkK6xrVT8osS,Feeling Good,spotify:artist:1II49wL7Bne9Y9QEaOzLQC,0.887,0.796,223729,0.185,0.836,6,0.101,-22.121,0,0.0506,107.75,4,0.701
1246,Key Glock,67,2rw5cbtHTyzy8iruujD28d,Dough,spotify:artist:0RESbWvOMyua0yuyVrztJ5,0.00166,0.876,198867,0.463,0.000492,1,0.109,-6.607,1,0.289,162.951,4,0.32
1247,Jazz Instrumental Relax Center,17,5Zb0ORlEJOZodNW1VKP3NV,Midnight in New York,spotify:artist:1II49wL7Bne9Y9QEaOzLQC,0.974,0.804,197000,0.213,0.844,8,0.139,-15.439,1,0.0435,119.939,4,0.67
1248,Halsey,76,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,spotify:artist:26VFTg2z8YR0cCuwLzESi2,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
1249,Mercurial Virus,13,7rwR4JD2Z8DCtFVnwqbFDY,Turning Point (FYHYM2020) - Billy Gillies Remix,spotify:artist:3Z70dAdwSvMR1uJ1VDpFZq,8.04e-06,0.417,111281,0.994,0.97,9,0.449,-6.374,1,0.228,137.99,4,0.169
1250,Logic,70,5jbDih9bLGmI8ycUKkN5XA,Perfect,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,0.00948,0.769,100291,0.829,6.65e-05,0,0.301,-5.228,1,0.0661,159.943,4,0.648
1251,Abryon,4,1VcwPnNqpBz66t9Cq2iAMA,2020 (New Year),spotify:artist:2gTGoERrv8C9b2pi3jZlnt,0.0126,0.702,196101,0.577,0.0,11,0.16,-9.576,1,0.252,160.019,4,0.481
1252,Polo G,69,2iW6Hb6kfrz2K7EhPibFiq,33,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,0.126,0.732,170057,0.462,0.0,5,0.12,-10.191,0,0.406,180.067,4,0.117
1253,James Dymond,13,7L8qoUMzgSWULRYSzYxUql,What Have I Got To Lose (FYHYM2020),spotify:artist:65cUCIwyx5xtC5HoXh6eOs,1.05e-05,0.379,110625,0.95,0.386,7,0.695,-5.944,1,0.126,137.961,4,0.0996
1254,Meek Mill,68,7wAFfH245FJP77ZugGVISe,GTA (feat. 42 Dugg),spotify:artist:20sxb77xiYeusSH8cVdatc,0.15,0.783,150487,0.577,0.0,8,0.2,-4.664,1,0.17,92.544,4,0.277
